Date,Bitcoin price,Waves price,Neo price,Ethereum price,Iota Price,Litecoin Price,Monero Price,Nem Price,Ethereum Classic Price,Numeraire Price,Omisego Price,Qtum Price,Ripple Price,Stratis Price,Bitcoin Cash Price,Bitconnect Price,Dash Price
20-Feb-18,11403.7,8.03,128.36,895.37,1.91,232.85,304.4,0.484397,38.47,23.84,18.4,31.11,1.09,9.13,1418.73,3.52,685.04
19-Feb-18,11225.3,8.1,137.47,943.87,2.09,223.06,316.49,0.529261,39.29,24.42,17.69,32.66,1.14,9.95,1534.77,3.95,728.73
18-Feb-18,10551.8,7.54,127.38,923.92,1.98,215.74,300.12,0.530407,34.88,20.43,16.66,31.24,1.12,9.26,1487.46,3.7,689.28
17-Feb-18,11112.7,7.84,136.75,974.12,2.2,229.47,325.67,0.59888,34.99,23.25,18.29,33.56,1.2,9.76,1551.39,4.31,742.16
16-Feb-18,10233.9,7.9,128.85,944.21,2.1,230.12,296.48,0.568887,35.03,21.25,18.17,33.02,1.14,9.56,1552.2,4.13,698.86
15-Feb-18,10166.4,8.07,123.29,936.98,2.13,225.43,303.25,0.561359,34.53,22.16,16.67,33.06,1.15,9.54,1375.81,4.04,703.86
14-Feb-18,9494.63,6.42,122.52,923.56,2.03,213.36,276.66,0.570005,35.04,22.1,15.66,32.55,1.14,9.36,1362.27,3.73,678.98
13-Feb-18,8598.31,5.6,111.17,845.26,1.81,159.55,234.69,0.533186,33.96,20.18,12.99,30.11,1.03,7.95,1231.98,3.03,595.47
12-Feb-18,8926.57,5.72,113.25,868.71,1.87,161.57,247.57,0.557894,29.88,21.98,12.84,30.13,1.08,7.9,1283.91,3.01,620.56
11-Feb-18,8129.97,5.45,103.4,814.66,1.7,148.99,229.49,0.52864,24.13,18.31,11.86,27.48,1,6.99,1217.64,2.25,580.02
10-Feb-18,8621.9,5.72,110.63,860.41,1.86,155.59,250.03,0.590511,24.52,19.39,12.51,30.27,1.07,7.86,1257.31,2.39,634.1
09-Feb-18,8736.98,6.04,117.57,883.87,1.96,163.95,260.43,0.590486,26,16.16,13.2,31.16,0.954428,8.21,1312.11,2.19,637.82
08-Feb-18,8265.59,5.58,112.43,817.81,1.78,149.47,247.22,0.543094,21.79,15.53,11.89,26.48,0.805263,7.35,1284.56,2.34,605
07-Feb-18,7621.3,4.97,102.5,757.07,1.6,138.2,207.28,0.536718,18.16,15.84,10.9,21.78,0.723895,6.49,957.96,2.46,521.99
06-Feb-18,7754,5.06,105.95,793.12,1.62,142.99,212.29,0.5842,19.39,15.15,11.37,24.05,0.776393,6.86,974.52,5.58,528.5
05-Feb-18,6955.27,4.54,82.37,697.95,1.45,125.33,179.49,0.449672,16.53,13.35,9.27,20.54,0.691799,6.09,887.41,4.29,451.43
04-Feb-18,8277.01,5.74,107.45,834.68,1.74,148.03,221.05,0.55087,21.04,15.8,12.06,26.19,0.815703,7.99,1165.38,5.54,549.96
03-Feb-18,9174.91,6.63,122.97,964.02,1.99,160.25,251.59,0.628795,24.2,19.95,14.05,29.93,0.924043,9.66,1272.5,6.51,637.37
02-Feb-18,8830.75,6.2,120.13,915.78,1.81,131.38,235.63,0.582652,23.07,17.77,13.25,30.26,0.884784,9.33,1191.14,6.69,586.88
01-Feb-18,9170.54,6.67,126,1036.79,1.91,142.3,240.97,0.618265,24.97,19.01,13.99,35.68,0.96253,10.15,1274.35,8.89,617.04
31-Jan-18,10221.1,7.68,145.76,1118.31,2.31,163.35,272.89,0.779857,28.76,21.6,15.74,42.12,1.16,12.29,1486.89,8.73,697.46
30-Jan-18,10106.3,7.61,146.28,1071.13,2.22,165.28,274.02,0.776491,27.13,22.64,14.92,37.33,1.14,11.97,1470.55,6.01,676.91
29-Jan-18,11296.4,8.71,168.14,1182.36,2.58,181.66,316.63,0.935431,31.71,26.88,16.91,43.41,1.32,14.82,1657.14,7.01,767.69
28-Jan-18,11786.3,9.2,152.16,1246.01,2.52,193.87,332.17,1.03,32.9,29.65,17.09,43.76,1.4,14.64,1746.25,8.32,812.24
27-Jan-18,11440.7,9.11,140.2,1107.07,2.45,180.89,321.36,1.06,29.49,28.68,15.98,39.58,1.22,14.42,1628.63,10.53,773.84
26-Jan-18,11171.4,8.96,137.89,1055.17,2.37,176.73,323.69,0.839974,28.8,26.59,16.58,39.7,1.22,13.37,1603.9,11.18,782.41
25-Jan-18,11259.4,9.06,138,1056.03,2.37,180.27,317.1,0.9491,29.19,27.87,17.96,40.72,1.31,12.68,1642.12,12.59,795.65
