Date,Bitcoin ,Ethereum ,Tether,XRP,Chainlink ,Bitcoin Cash,Litecoin,Binance,Polkadot,Cardano
2020-11-15,15955.58789,447.559082,1.000647,0.269642,12.121813,241.368027,62.279919,27.621031,n/a,0.100531
2020-11-14,16068.13867,460.149841,1.000288,0.268342,12.57696,255.769043,63.774151,27.936201,n/a,0.104202
2020-11-13,16317.80859,474.626434,1.000345,0.265191,12.887979,259.171783,65.457199,28.182173,4.54012,0.106391
2020-11-12,16276.34375,461.00528,1.000509,0.254903,12.423223,259.821533,60.365379,27.614807,4.39924,0.104525
2020-11-11,15701.33984,462.960541,1.000985,0.256259,12.807538,257.12149,59.515026,27.956179,4.457202,0.105965
2020-11-10,15290.90234,449.679626,1.001127,0.253911,13.003463,257.351807,58.237343,28.193342,4.415016,0.105805
2020-11-09,15332.31543,444.163055,1.000653,0.250748,12.520736,263.981323,59.363884,28.018021,4.346767,0.105325
2020-11-08,15479.56738,453.554779,1.000846,0.253939,12.656034,270.697784,61.055046,28.305115,4.372093,0.106621
2020-11-07,14833.75391,435.713135,1.001576,0.249582,11.757224,253.590408,59.143646,27.738096,4.24196,0.101379
2020-11-06,15565.88086,454.719299,1.000296,0.258445,12.118073,257.720184,63.131111,29.018,4.579652,0.109105
2020-11-05,15579.84863,414.067352,1.00042,0.245776,10.990669,249.547333,58.678497,27.675859,4.235195,0.096994
2020-11-04,14133.70703,402.141998,1.001079,0.237793,10.472588,241.130096,54.499104,26.931515,4.098083,0.095369
2020-11-03,13950.30078,387.602173,1.000552,0.23951,10.387002,244.146835,53.819622,26.857048,4.025468,0.093434
2020-11-02,13550.48926,383.156738,1.000523,0.235421,10.797579,257.199707,53.817482,27.88393,4.030231,0.092143
2020-11-01,13737.10938,396.358185,1.000379,0.239797,11.53663,267.555817,55.587624,28.461565,4.225615,0.098197
2020-10-31,13780.99512,386.590332,1.0002,0.239744,11.220839,261.75824,55.59026,28.431215,4.181767,0.093056
2020-10-30,13546.52246,382.819977,1.000904,0.239184,11.098557,261.828125,53.835033,28.508411,4.088113,0.093369
2020-10-29,13437.88281,386.730103,1.000349,0.242295,11.265141,267.056061,54.765854,29.842478,4.053345,0.095376
2020-10-28,13271.28516,388.650757,1.00034,0.245865,11.461742,268.489716,55.742512,30.363506,4.365097,0.098977
2020-10-27,13654.21875,403.99704,1.000223,0.252899,11.973837,264.539429,57.816051,31.638721,4.683952,0.102827
2020-10-26,13075.24805,393.888306,1.000958,0.248688,11.747903,259.782593,56.745777,31.15456,4.727016,0.103097
2020-10-25,13031.17383,406.217773,1.000721,0.253213,12.160059,271.079437,58.674801,30.107542,4.335231,0.106351
2020-10-24,13108.0625,412.457611,1.000909,0.256431,12.731548,275.122009,59.095585,30.588821,4.355344,0.108075
2020-10-23,12931.53906,409.766693,1.000657,0.254879,12.163795,270.314667,55.238689,30.633961,4.26685,0.108083
2020-10-22,12965.8916,413.77298,1.001091,0.256807,11.939335,266.472626,54.267277,30.65819,4.26895,0.110572
2020-10-21,12823.68945,392.189972,1.001834,0.251615,10.804607,258.514587,53.04533,29.772354,4.14112,0.106187
2020-10-20,11916.33496,369.136902,1.000985,0.243573,9.878592,242.845551,47.051029,28.803442,3.910343,0.102494
2020-10-19,11742.03711,379.935608,1.000853,0.245964,10.886283,250.709793,48.098915,29.925068,3.990592,0.108677
2020-10-18,11483.35938,378.213684,1.000784,0.242225,10.880713,249.812164,47.619545,30.659523,4.104651,0.107388
2020-10-17,11358.10156,368.855927,1.000697,0.240931,10.652524,246.319931,47.053928,30.248234,3.967252,0.106104
2020-10-16,11322.12305,366.229004,1.001047,0.240443,10.61955,250.325409,47.692875,29.9949,3.909529,0.104064
2020-10-15,11495.34961,377.441833,1.000796,0.245939,10.737752,261.384735,49.490372,31.295864,4.096811,0.106635
2020-10-14,11429.50684,379.484039,1.001007,0.249448,10.949109,259.133484,49.846489,30.912117,4.199114,0.107297
2020-10-13,11425.89941,381.190765,1.001111,0.256323,10.995448,253.530243,49.940639,30.706745,4.2494,0.108852
2020-10-12,11555.36328,387.731262,1.001302,0.256446,11.452909,239.814957,50.743816,30.714682,4.319948,0.110034
2020-10-11,11384.18164,375.142059,1.000734,0.255719,10.847406,239.669846,50.727901,28.55558,4.262162,0.106538
