Date,Bitcoin ,Ethereum ,Tether,XRP,Chainlink 
2020-11-15,15955.58789,447.559082,1.000647,0.269642,12.121813
2020-11-14,16068.13867,460.149841,1.000288,0.268342,12.57696
2020-11-13,16317.80859,474.626434,1.000345,0.265191,12.887979
2020-11-12,16276.34375,461.00528,1.000509,0.254903,12.423223
2020-11-11,15701.33984,462.960541,1.000985,0.256259,12.807538
2020-11-10,15290.90234,449.679626,1.001127,0.253911,13.003463
2020-11-09,15332.31543,444.163055,1.000653,0.250748,12.520736
2020-11-08,15479.56738,453.554779,1.000846,0.253939,12.656034
2020-11-07,14833.75391,435.713135,1.001576,0.249582,11.757224
2020-11-06,15565.88086,454.719299,1.000296,0.258445,12.118073
2020-11-05,15579.84863,414.067352,1.00042,0.245776,10.990669
2020-11-04,14133.70703,402.141998,1.001079,0.237793,10.472588
2020-11-03,13950.30078,387.602173,1.000552,0.23951,10.387002
2020-11-02,13550.48926,383.156738,1.000523,0.235421,10.797579
2020-11-01,13737.10938,396.358185,1.000379,0.239797,11.53663
2020-10-31,13780.99512,386.590332,1.0002,0.239744,11.220839
2020-10-30,13546.52246,382.819977,1.000904,0.239184,11.098557
2020-10-29,13437.88281,386.730103,1.000349,0.242295,11.265141
2020-10-28,13271.28516,388.650757,1.00034,0.245865,11.461742
2020-10-27,13654.21875,403.99704,1.000223,0.252899,11.973837
2020-10-26,13075.24805,393.888306,1.000958,0.248688,11.747903
2020-10-25,13031.17383,406.217773,1.000721,0.253213,12.160059
2020-10-24,13108.0625,412.457611,1.000909,0.256431,12.731548
2020-10-23,12931.53906,409.766693,1.000657,0.254879,12.163795
2020-10-22,12965.8916,413.77298,1.001091,0.256807,11.939335
2020-10-21,12823.68945,392.189972,1.001834,0.251615,10.804607
2020-10-20,11916.33496,369.136902,1.000985,0.243573,9.878592
2020-10-19,11742.03711,379.935608,1.000853,0.245964,10.886283
2020-10-18,11483.35938,378.213684,1.000784,0.242225,10.880713
2020-10-17,11358.10156,368.855927,1.000697,0.240931,10.652524
2020-10-16,11322.12305,366.229004,1.001047,0.240443,10.61955
2020-10-15,11495.34961,377.441833,1.000796,0.245939,10.737752
