Date,Bitcoin ,Ethereum ,Tether,XRP,Chainlink 
2020-11-15,15955.58789,447.559082,1.000647,0.269642,12.121813
2020-11-14,16068.13867,460.149841,1.000288,0.268342,12.57696
2020-11-13,16317.80859,474.626434,1.000345,0.265191,12.887979
2020-11-12,16276.34375,461.00528,1.000509,0.254903,12.423223
2020-11-11,15701.33984,462.960541,1.000985,0.256259,12.807538
2020-11-10,15290.90234,449.679626,1.001127,0.253911,13.003463
2020-11-09,15332.31543,444.163055,1.000653,0.250748,12.520736
2020-11-08,15479.56738,453.554779,1.000846,0.253939,12.656034
2020-11-07,14833.75391,435.713135,1.001576,0.249582,11.757224
2020-11-06,15565.88086,454.719299,1.000296,0.258445,12.118073
2020-11-05,15579.84863,414.067352,1.00042,0.245776,10.990669
2020-11-04,14133.70703,402.141998,1.001079,0.237793,10.472588
2020-11-03,13950.30078,387.602173,1.000552,0.23951,10.387002
2020-11-02,13550.48926,383.156738,1.000523,0.235421,10.797579
2020-11-01,13737.10938,396.358185,1.000379,0.239797,11.53663
2020-10-31,13780.99512,386.590332,1.0002,0.239744,11.220839
2020-10-30,13546.52246,382.819977,1.000904,0.239184,11.098557
2020-10-29,13437.88281,386.730103,1.000349,0.242295,11.265141
2020-10-28,13271.28516,388.650757,1.00034,0.245865,11.461742
2020-10-27,13654.21875,403.99704,1.000223,0.252899,11.973837
2020-10-26,13075.24805,393.888306,1.000958,0.248688,11.747903
2020-10-25,13031.17383,406.217773,1.000721,0.253213,12.160059
2020-10-24,13108.0625,412.457611,1.000909,0.256431,12.731548
2020-10-23,12931.53906,409.766693,1.000657,0.254879,12.163795
2020-10-22,12965.8916,413.77298,1.001091,0.256807,11.939335
2020-10-21,12823.68945,392.189972,1.001834,0.251615,10.804607
2020-10-20,11916.33496,369.136902,1.000985,0.243573,9.878592
2020-10-19,11742.03711,379.935608,1.000853,0.245964,10.886283
2020-10-18,11483.35938,378.213684,1.000784,0.242225,10.880713
2020-10-17,11358.10156,368.855927,1.000697,0.240931,10.652524
2020-10-16,11322.12305,366.229004,1.001047,0.240443,10.61955
2020-10-15,11495.34961,377.441833,1.000796,0.245939,10.737752
2020-10-14,11429.50684,379.484039,1.001007,0.249448,10.949109
2020-10-13,11425.89941,381.190765,1.001111,0.256323,10.995448
2020-10-12,11555.36328,387.731262,1.001302,0.256446,11.452909
2020-10-11,11384.18164,375.142059,1.000734,0.255719,10.847406
2020-10-10,11296.36133,370.96759,1.000884,0.25429,10.524793
2020-10-09,11079.46582,366.046417,1.00278,0.253676,10.38892
2020-10-08,10923.62793,351.455658,1.001632,0.251615,9.547591
2020-10-07,10679.13672,342.119781,1.000901,0.249041,8.982041
2020-10-06,10621.66406,341.021149,1.001835,0.24586,8.780581
2020-10-05,10804.00098,354.2771,1.001419,0.250896,9.64621
2020-10-04,10684.42871,353.121918,1.001763,0.248502,9.424563
2020-10-03,10565.49316,347.321594,1.002561,0.233505,9.305865
2020-10-02,10585.16406,346.532654,1.001953,0.234202,9.23312
2020-10-01,10623.33008,353.231293,0.999962,0.238361,9.647449
2020-09-30,10787.61816,360.022369,1.002569,0.242311,9.857672
2020-09-29,10848.83008,359.963409,1.001193,0.243139,10.111197
2020-09-28,10721.32715,354.9505,1.002695,0.242051,10.317588
2020-09-27,10774.42676,357.321686,1.000534,0.243252,10.773764
2020-09-26,10754.4375,354.965271,1.002689,0.242369,10.335216
2020-09-25,10702.29004,352.161865,1.002644,0.241805,10.715446
2020-09-24,10745.54883,349.356659,1.002381,0.233018,9.833251
2020-09-23,10225.86426,320.585541,1.002652,0.221657,7.68582
2020-09-22,10538.45996,344.503174,1.001444,0.233417,8.764185
2020-09-21,10462.25977,341.786072,1.003263,0.232138,8.759941
2020-09-20,10938.27148,371.052826,1.002654,0.246743,9.768123
2020-09-19,11094.34668,385.544373,1.002017,0.251716,10.147277
2020-09-18,10944.58594,384.364532,0.999502,0.250707,10.081642
2020-09-17,10948.99023,389.019226,1.001878,0.252194,10.98888
2020-09-16,10974.90527,365.812286,1.003444,0.247847,10.761816
2020-09-15,10796.95117,364.839233,1.002487,0.24385,10.978154
2020-09-14,10680.83789,377.26886,1.001289,0.246327,12.119579
2020-09-13,10323.75586,365.570007,0.999213,0.241801,11.993546
2020-09-12,10442.1709,387.183105,1.001307,0.247814,12.769032
2020-09-11,10400.91504,374.695587,1.001517,0.243292,12.501496
2020-09-10,10363.13867,368.101898,1.001457,0.24353,12.551313
2020-09-09,10242.34766,351.110016,1.002102,0.239609,12.377293
2020-09-08,10131.5166,337.602112,1.001025,0.236753,11.785031
2020-09-07,10369.56348,352.673492,1.000537,0.242174,12.426578
2020-09-06,10280.35156,353.362274,1.002838,0.240731,12.91373
2020-09-05,10169.56738,335.260071,1.000151,0.237692,10.611472
2020-09-04,10511.81348,388.24115,1.003686,0.255883,12.492867
2020-09-03,10245.29688,385.671936,1.005495,0.24658,12.016678
2020-09-02,11414.03418,440.040497,1.001828,0.276461,14.897397
2020-09-01,11970.47852,477.05191,1.003957,0.295696,16.121492
2020-08-31,11680.82031,435.079742,1.003191,0.281766,15.708488
2020-08-30,11711.50586,428.395721,1.001173,0.283034,16.472963
2020-08-29,11506.86523,399.921478,1.002824,0.274497,16.567078
2020-08-28,11542.5,395.874664,1.002036,0.272046,15.15606
2020-08-27,11323.39746,382.632629,1.002206,0.264511,14.497711
2020-08-26,11488.36328,386.466125,1.001853,0.277491,15.251755
2020-08-25,11366.13477,384.001038,1.002365,0.277927,14.216811
2020-08-24,11774.5957,408.144196,1.001976,0.289215,15.183359
2020-08-23,11664.84766,391.384491,1.002345,0.285386,15.174676
2020-08-22,11681.8252,395.835144,1.000956,0.286546,15.960192
2020-08-21,11592.48926,389.126343,1.004549,0.280682,13.800856
2020-08-20,11878.37207,416.439789,1.000409,0.292573,16.091297
2020-08-19,11758.2832,406.463776,1.002408,0.290246,16.239985
2020-08-18,11991.2334,423.669312,1.00272,0.303307,16.241375
2020-08-17,12254.40234,429.53125,1.000111,0.314767,16.705545
2020-08-16,11892.80371,433.786621,1.001881,0.303492,18.804186
2020-08-15,11865.69824,433.354919,1.001032,0.299661,19.098751
2020-08-14,11768.87109,437.397827,1.001024,0.300371,16.926432
2020-08-13,11784.1377,428.741791,1.02021,0.297807,17.326002
2020-08-12,11584.93457,391.02417,1.013791,0.28493,16.621542
2020-08-11,11410.52539,380.384064,1.003691,0.284449,13.10599
2020-08-10,11878.11133,395.887573,1.001059,0.294659,13.441035
2020-08-09,11675.73926,391.120453,1.00317,0.288653,13.853206
2020-08-08,11754.0459,393.987366,1.000164,0.294022,12.689207
2020-08-07,11601.47266,379.512848,1.002846,0.294664,10.063365
2020-08-06,11779.77344,394.961945,1.000175,0.303584,10.140255
2020-08-05,11747.02246,401.590576,1.003089,0.303311,9.558774
2020-08-04,11205.89258,389.875488,1.000399,0.300493,9.821836
2020-08-03,11246.34863,386.295166,1.001414,0.30994,9.164759
