Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,
1,Bitcoin,BTC,295790551598.00,15955.59,"18,538,368",BTC,23653867583.00,0.0013,-0.007,0.0308,0.13,-0.7,3.08,100,
2,Ethereum,ETH,50771836456.00,447.56,"113,441,637",ETH,10308617165.00,0.0027,-0.0274,-0.0132,0.27,-2.74,-1.32,100,
3,Tether,USDT,17878397979.00,1.00,"17,866,843,501",USDT,34845215193.00,0.0001,0.0004,-0.0002,0.01,0.04,-0.02,100,
4,XRP,XRP,12222354606.00,0.27,"45,328,155,123",XRP,3613774298.00,0.0036,0.0048,0.0618,0.36,0.48,6.18,100,
5,Chainlink,LINK,4757927484.00,12.12,"392,509,556",LINK,967748061.00,0.0030,-0.0362,-0.0422,0.3,-3.62,-4.22,100,
6,Bitcoin Cash,BCH,4482952487.00,241.37,"18,573,100",BCH,2400160029.00,-0.0029,-0.0563,-0.1083,-0.29,-5.63,-10.83,100,
7,Litecoin,LTC,4103576321.00,62.28,"65,889,235",LTC,2565763410.00,0.0020,-0.0234,0.0201,0.2,-2.34,2.01,100,
8,Binance Coin,BNB,3988657963.00,27.62,"144,406,561",BNB,254946427.00,0.0039,-0.0113,-0.0242,0.39,-1.13,-2.42,100,
9,Polkadot,DOT,3847021230.00,4.38,"878,317,685",DOT,325439058.00,0.0015,-0.0192,0.0018,0.15,-1.92,0.18,100,
10,Cardano,ADA,3127773189.00,0.10,"31,112,484,646",ADA,358303858.00,0.0007,-0.0352,-0.0571,0.07,-3.52,-5.71,100,
11,Bitcoin SV,BSV,2868014232.00,154.43,"18,571,502",BSV,427809861.00,0.0010,-0.0209,-0.0746,0.1,-2.09,-7.46,100,
12,USD Coin,USDC,2813598347.00,1.00,"2,813,125,807",USDC,283637646.00,0.0001,-0.0001,0.0002,0.01,-0.01,0.02,100,
13,EOS,EOS,2342491069.00,2.50,"937,795,598",EOS,1497817036.00,-0.0016,-0.0164,-0.0164,-0.16,-1.64,-1.64,100,
14,Monero,XMR,2035536334.00,114.62,"17,758,852",XMR,716438616.00,0.0012,-0.0168,-0.0475,0.12,-1.68,-4.75,100,
15,Wrapped Bitcoin,WBTC,1974163274.00,15887.32,"124,260",WBTC,30272059.00,0.0021,-0.0095,0.0282,0.21,-0.95,2.82,100,
16,TRON,TRX,1820797810.00,0.03,"71,659,657,369",TRX,726438273.00,0.0029,0.0087,0.0017,0.29,0.87,0.17,100,
17,Stellar,XLM,1681113432.00,0.08,"20,936,884,556",XLM,130851376.00,0.0015,-0.0106,-0.0153,0.15,-1.06,-1.53,100,
18,Tezos,XTZ,1514960761.00,2.02,"750,132,742",XTZ,156096826.00,0.0020,-0.0385,-0.0325,0.2,-3.85,-3.25,100,
19,Crypto.com Coin,CRO,1366432412.00,0.06,"21,366,210,046",CRO,45658418.00,0.0041,-0.0546,-0.1447,0.41,-5.46,-14.47,100,
20,UNUS SED LEO,LEO,1270549898.00,1.27,"999,498,893",LEO,9357677.00,0.0018,0.0003,-0.0115,0.18,0.03,-1.15,100,
21,NEM,XEM,1197300767.00,0.13,"8,999,999,999",XEM,27415545.00,0.0161,-0.0335,0.0434,1.61,-3.35,4.34,100,
22,Neo,NEO,1078425131.00,15.29,"70,538,831",NEO,406207296.00,-0.0010,-0.026,-0.0096,-0.1,-2.6,-0.96,100,
23,Cosmos,ATOM,1024999241.00,4.98,"205,817,332",ATOM,122779029.00,0.0013,-0.0133,0.0368,0.13,-1.33,3.68,100,
24,Dai,DAI,1013497083.00,1.00,"1,011,275,489",DAI,72762520.00,0.0012,-0.0009,-0.0064,0.12,-0.09,-0.64,100,
25,Filecoin,FIL,974167203.00,27.83,"35,009,639",FIL,120001960.00,0.0015,-0.0521,-0.0934,0.15,-5.21,-9.34,100,
26,Uniswap,UNI,847333504.00,3.86,"219,402,350",UNI,742520518.00,0.0151,0.0139,0.3557,1.51,1.39,35.57,100,
27,Aave,AAVE,754769243.00,64.24,"11,749,705",AAVE,258275517.00,0.0112,-0.0415,0.1951,1.12,-4.15,19.51,100,
