Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,16.590000,16.719999,16.500000,16.570000,16.322866,7947800
2019-11-18,16.549999,16.969999,16.510000,16.889999,16.638092,12226300
2019-11-19,16.809999,17.150000,16.799999,17.049999,16.795708,9453500
2019-11-20,17.049999,17.219999,16.809999,16.990000,16.736603,10160800
2019-11-21,17.000000,17.110001,16.570000,16.639999,16.391823,10660700
2019-11-22,16.740000,16.760000,16.469999,16.490000,16.244061,7212200
2019-11-25,16.420000,16.690001,16.299999,16.430000,16.184954,8661200
2019-11-26,16.420000,16.910000,16.360001,16.860001,16.608541,10096300
2019-11-27,16.719999,16.770000,16.540001,16.700001,16.499861,6520400
2019-11-29,16.770000,16.860001,16.639999,16.799999,16.648506,5515900
2019-12-02,16.760000,17.020000,16.730000,16.889999,16.737696,11605300
2019-12-03,17.280001,17.790001,17.190001,17.280001,17.124180,16549400
2019-12-04,17.250000,17.379999,17.010000,17.030001,16.876432,10131000
2019-12-05,17.120001,17.309999,17.049999,17.160000,17.005260,8687700
2019-12-06,16.889999,17.110001,16.820000,16.889999,16.737696,8180600
2019-12-09,17.000000,17.200001,16.790001,16.850000,16.698057,8946600
2019-12-10,16.950001,17.170000,16.920000,17.139999,16.985439,12644500
2019-12-11,17.280001,17.780001,17.240000,17.620001,17.461115,14640500
2019-12-12,17.799999,17.980000,17.340000,17.559999,17.401653,12194100
2019-12-13,17.450001,17.670000,17.320000,17.580000,17.421473,10721200
2019-12-16,17.680000,17.680000,17.240000,17.420000,17.262917,7813400
2019-12-17,17.350000,17.520000,17.290001,17.389999,17.233187,9722100
2019-12-18,17.490000,17.940001,17.410000,17.930000,17.768316,15938800
2019-12-19,17.930000,18.000000,17.549999,17.709999,17.550299,8380700
2019-12-20,17.650000,17.780001,17.410000,17.450001,17.292646,9077300
2019-12-23,17.580000,17.820000,17.480000,17.760000,17.599850,8634100
2019-12-24,17.799999,18.320000,17.760000,18.309999,18.144890,8174000
2019-12-26,18.500000,18.559999,18.200001,18.360001,18.194439,9372500
2019-12-27,18.320000,18.480000,18.180000,18.370001,18.204350,9047000
2019-12-30,18.410000,18.680000,18.330000,18.610001,18.442186,9560900
2019-12-31,18.740000,18.830000,18.500000,18.590000,18.422365,9210900
2020-01-02,18.709999,18.809999,18.370001,18.490000,18.323267,7096800
2020-01-03,18.930000,18.959999,18.430000,18.570000,18.402544,13759300
2020-01-06,18.980000,19.010000,18.370001,18.389999,18.224169,14286900
2020-01-07,18.389999,18.530001,18.129999,18.469999,18.303446,12084100
2020-01-08,18.510000,18.510000,17.709999,17.820000,17.659309,14582200
2020-01-09,17.620001,17.799999,17.459999,17.600000,17.441292,11537900
2020-01-10,17.670000,17.959999,17.600000,17.850000,17.689039,8361600
2020-01-13,17.770000,17.780001,17.430000,17.450001,17.292646,8410700
2020-01-14,17.299999,17.600000,17.260000,17.559999,17.401653,10064900
2020-01-15,17.750000,17.980000,17.559999,17.900000,17.738586,10450300
2020-01-16,18.000000,18.100000,17.740000,18.090000,17.926876,10178800
2020-01-17,18.129999,18.209999,17.760000,17.950001,17.788137,9789200
2020-01-21,17.959999,18.350000,17.930000,18.350000,18.184530,14625700
2020-01-22,18.340000,18.400000,18.170000,18.290001,18.125072,10563200
2020-01-23,18.209999,18.680000,18.180000,18.430000,18.263807,13182200
2020-01-24,18.450001,18.750000,18.350000,18.709999,18.541283,14750800
2020-01-27,19.000000,19.170000,18.450001,18.620001,18.452097,21295700
2020-01-28,18.400000,18.500000,17.850000,18.000000,17.837685,16125200
2020-01-29,18.090000,18.400000,17.930000,18.370001,18.204350,8479500
2020-01-30,18.420000,18.650000,18.250000,18.440001,18.273718,13839700
2020-01-31,18.480000,18.740000,18.420000,18.520000,18.352999,11002500
2020-02-03,18.370001,18.450001,18.090000,18.280001,18.115162,11759300
2020-02-04,18.010000,18.150000,17.629999,18.020000,17.857508,15578600
2020-02-05,18.000000,18.170000,17.959999,18.020000,17.857508,7388300
2020-02-06,18.120001,18.490000,18.049999,18.350000,18.184530,7471800
2020-02-07,18.450001,18.559999,18.080000,18.190001,18.025974,8733600
2020-02-10,18.260000,18.520000,18.160000,18.430000,18.263807,8164900
2020-02-11,18.370001,18.639999,18.260000,18.440001,18.273718,10385000
2020-02-12,18.510000,18.680000,18.200001,18.410000,18.243988,11832200
2020-02-13,18.580000,19.170000,18.549999,18.930000,18.759298,15270200
2020-02-14,19.000000,19.730000,18.930000,19.719999,19.542175,20194400
2020-02-18,19.850000,20.650000,19.750000,20.580000,20.394421,27961900
2020-02-19,20.809999,21.040001,20.400000,21.000000,20.810633,20183200
2020-02-20,20.940001,21.309999,20.719999,20.770000,20.582708,16593500
2020-02-21,21.450001,21.610001,21.170000,21.440001,21.246664,19956000
2020-02-24,22.500000,22.570000,21.730000,22.030001,21.831347,29354200
2020-02-25,21.700001,22.080000,21.240000,21.250000,21.058378,26511700
2020-02-26,21.000000,21.379999,20.889999,21.090000,20.899822,18550700
2020-02-27,21.379999,21.450001,19.680000,19.780001,19.666912,28277900
2020-02-28,18.350000,19.129999,18.030001,19.040001,18.931143,40590000
2020-03-02,19.420000,19.940001,19.139999,19.860001,19.746452,25295800
2020-03-03,20.180000,21.270000,19.700001,20.620001,20.502110,32518300
2020-03-04,21.000000,21.049999,20.160000,20.549999,20.432508,23388100
2020-03-05,20.879999,21.360001,20.629999,21.160000,21.039019,27916600
2020-03-06,21.520000,21.830000,20.420000,21.230000,21.108620,28052900
2020-03-09,20.510000,20.900000,19.900000,19.930000,19.816051,23635700
2020-03-10,20.049999,20.430000,19.090000,19.870001,19.756397,23015800
2020-03-11,19.530001,19.900000,18.510000,18.790001,18.682571,22061600
2020-03-12,16.969999,18.000000,15.470000,16.879999,16.783491,33552400
2020-03-13,17.450001,17.610001,15.060000,15.670000,15.580409,31110800
2020-03-16,13.210000,17.150000,12.650000,16.330000,16.236635,36620600
2020-03-17,16.209999,18.590000,16.129999,17.709999,17.608744,32058700
2020-03-18,17.080000,17.980000,15.450000,15.880000,15.789208,30257400
2020-03-19,15.530000,17.840000,14.000000,16.080000,15.988066,22990000
2020-03-20,16.660000,17.000000,15.540000,15.880000,15.789208,20170900
2020-03-23,16.400000,17.870001,16.370001,16.930000,16.833204,33801100
2020-03-24,18.780001,19.770000,18.129999,19.500000,19.388512,34579500
2020-03-25,19.180000,19.730000,18.420000,19.110001,19.000742,30961900
2020-03-26,19.540001,20.180000,18.709999,19.580000,19.468054,24263100
2020-03-27,19.100000,19.780001,18.959999,19.240000,19.129997,22450000
2020-03-30,19.200001,19.629999,18.780001,19.290001,19.179714,22511900
2020-03-31,18.860001,19.170000,18.270000,18.320000,18.215258,19294400
2020-04-01,18.410000,19.180000,18.260000,18.870001,18.762114,18073100
